us,zh,expl1,expl2,y_pred_esn,y_pred_sc,gold
It's expected that people will have a general direction in life.,It is okay to not know what to do next in life,"The US norm expresses a negative attitude towards not having definite plans for the future, while the Chinese norm shows approving attitude","If you do not have a general direction, it's not expected that people will not know what to do next",Contradiction,Contradiction,Contradiction
It is your right to feel negative feelings towards someone.,It is not appropriate to say that you hate your father,"The US norm expresses a positive attitude towards hating someone, while the Chinese norm deems it inappropriate to express such feelings","It is either your right to feel negative feelings towards someone, or it is not appropriate to say that you hate your father",Contradiction,Contradiction,Contradiction
You shouldn't overstay your welcome.,It is better to take care of yourself first and then others,"The US norm is about respecting the boundaries of others and not overstaying one's welcome, while the Chinese norm talks about taking care of oneself before helping others",Overstaying is not the same as taking care of yourself first and then others,No Relation,No Relation,No Relation
You should be intimate with your partner to keep the love alive.,It is not appropriate to have sexual relations before marriage,"The US norm expresses positive attitude towards being intimate with your partner, while the Chinese norm implies disapproval of having sexual relations before marriage",One cannot be intimate and not have sexual relations simultaneously,Contradiction,Contradiction,Contradiction
It is expected to have a clear understanding of what is expected in a relationship.,It is okay to pursue a girl who already has a boyfriend if the boyfriend is an ex.,"The US norm is about having a clear understanding of what is expected in s relationship, while the Chinese norm has no mention of this",A girl who already has a boyfriend does not imply that the boyfriend is an ex,No Relation,No Relation,No Relation
You should always invite your friends to your important events.,It is not appropriate to not want to celebrate your birthday when your friends and family want to celebrate it with you.,"The US norm is about showing respect and hospitality to friends, while the Chinese norms are about respecting the wishes of family and not refusing to celebrate with them on their birthdays",It is not always appropriate to not want to celebrate,No Relation,No Relation,No Relation
People are expected to enjoy hanging out with other people.,It is okay to be alone,"The US norm expresses positive attitude towards hanging out with other people, while the Chinese norm implies that it is okay to be alone",People are not expected to be alone if they are with other people,Contradiction,Contradiction,Contradiction
It's expected that people will have a general direction in life.,It is okay to not know what to do,"The US norm expresses a negative attitude towards not knowing what to do with oneself, while the Chinese norm implies that it is acceptable to not have s direction in life","If it's expected that people will have a general direction in life, then it is not okay to not know what to do",Contradiction,Contradiction,Contradiction
It's OK to ask for your money back.,It is polite to ask for money back that you have spent on something,"Both norms express approval towards asking for money back, although the US norm is more general and the Chinese norm specifically addresses the situation of a gift","If someone asks for money back, it is polite",Entailment,Entailment,Entailment
It's nice to ask people they eat.,It is assumed that people do not have time to cook breakfast every morning,"The US norm is about politeness and social etiquette, while the Chinese norm implies that people may not have the time to cook breakfast every morning",Just because people eat doesn't mean they don',No Relation,No Relation,No Relation
It's not okay to single people out.,It is necessary to be polite to your family members even though they are close to you.,"The US norm is about respecting the feelings of others and not discriminating against them, while the Chinese norms is specifically about treating family members with respect and politeness",Not all people are family members,No Relation,No Relation,No Relation
It's inappropriate to date a family member's ex.,It is assumed that the speaker has a brother.,"The US norm is about respecting family relationships and not engaging in romantic relationships with people who have been in relationships before, while the Chinese norms assumes that the speaker has a brother",Not all family members are a brother,No Relation,No Relation,No Relation
It's good to show concern for your child.,It is best to communicate with family members who have anxiety disorders when at least one person is not anxious.,"The US norm is about expressing love and concern for children, while the Chinese norms is specifically about communicating with family members who have anxiety disorders",It is not implied that the child is anxious,No Relation,No Relation,No Relation
You shouldn't give someone a reason to be mad at you.,It is not appropriate to be angry when your wife is pregnant.,"The US norm is about avoiding conflict and not doing anything to upset someone, while the Chinese norms is specifically about being angry during a specific situation (when the wife is pregnant)",Not all people are angry when their wife is pregant,No Relation,No Relation,No Relation
It's okay to be angry at someone you love.,It is not appropriate to ask why your boyfriend is angry with you.,"The US norm is about being okay in general with expressing feelings to someone you love, while the Chinese norm specifically talks about asking why someone is angry",You can not infer he is angry,No Relation,No Relation,No Relation
You are encouraged to keep close to your family,It is better to treat him as other people if you cannot stand him,"The US norm encourages closeness with family, while the Chinese norm suggests that it is better to treat someone as other people if you do not like them",It is either better to treat him as other people or keep close to your family,Contradiction,Contradiction,Contradiction
People are expected to love their family.,It is okay to hate your father if he is selfish,"The US norm expresses positive attitude towards loving one's family, while the Chinese norm implies that it is okay to hate one""s father if he is selfish",Love is not hate,Contradiction,Contradiction,Contradiction
You shouldn't hate your family.,It is not appropriate to hate yourself and your family.,Both norms express disapproval towards hating one's family members,"If you shouldn't hate your family, it is not appropriate to hate yourself and your familia",Entailment,Entailment,Entailment
It's rude to pee in the bathtub.,It is not appropriate to urinate while taking a bath,Both norms express disapproval towards peeing in the bathtub,"If it's rude to pee in the bathtub, then it is not appropriate to urinate",Entailment,Entailment,Entailment
You can't expect your friends not to go after someone you like.,It is okay to be friends with someone of the opposite sex.,"The US norm is about individual choice and freedom in romantic relationships, while the Chinese norms is generally about accepting and embracing diversity",Not all friends are of opposite sex,No Relation,No Relation,No Relation
You should talk to your friends about your feelings and concerns.,It is important to get to know someone before you make any decisions about them,"Both norms emphasize the importance of talking to friends about feelings and concerns, as well as getting to know someone before making any decisions about them",Talking to your friends about your feelings and concerns is a way to get to know someone,Entailment,Entailment,Entailment
You can't expect your friend's partner to like you.,It is not appropriate to let your best friend and your current friend meet each other if they don't like each other,"The US norm is about managing expectations in relationships, while the Chinese norms is specifically about respecting boundaries and not allowing two people to meet if they don't get along",You can't expect your friend's partner to like you doesn' t imply they don',No Relation,No Relation,No Relation
